Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Dry_F1,Dry_Precision,Dry_Recall,Dry_PR_AUC,Wet_F1,Wet_Precision,Wet_Recall,Wet_PR_AUC
LR,0.9575936430302863,0.9579286041339613,0.9576012223071046,0.9576012223071046,0.9920715368755504,{'C': [1.0]},"['spec_skew', 'mfcc_1', 'wav_detail_lvl3_std']",0.9570267131242741,0.9701726844583988,0.9442322383498855,0.9931863051128993,0.9581605729362985,0.9456845238095238,0.970970206264324,0.9920715368755504
SGD,0.9575936430302863,0.9579286041339613,0.9576012223071046,0.9576012223071046,0.9927005901367361,"{'alpha': [0.001], 'penalty': ['l2']}","['wav_detail_lvl5_std', 'mfcc_1', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std']",0.9570267131242741,0.9701726844583988,0.9442322383498855,0.9937114434285739,0.9581605729362985,0.9456845238095238,0.970970206264324,0.9927005901367361
SGD,0.9575918112230118,0.9580077805556204,0.9576012223071046,0.9576012223071046,0.9919751540584313,"{'alpha': [0.001], 'penalty': ['l2']}","['wav_detail_lvl5_std', 'spec_kurtosis', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9569600620395502,0.9716535433070866,0.9427043544690603,0.9933646461017059,0.9582235604064735,0.9443620178041543,0.972498090145149,0.9919751540584313
LR,0.9575908209910244,0.9580505900221988,0.9576012223071046,0.9576012223071046,0.9917709498984563,{'C': [1.0]},"['spec_kurtosis', 'mfcc_var', 'wav_detail_lvl4_std']",0.9569266589057043,0.972397476340694,0.9419404125286478,0.9931568544256582,0.9582549830763445,0.9437037037037037,0.9732620320855615,0.9917709498984563
SGD,0.9575908209910244,0.9580505900221988,0.9576012223071046,0.9576012223071046,0.9913697544641075,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_1', 'spec_kurtosis', 'wav_detail_lvl4_std']",0.9569266589057043,0.972397476340694,0.9419404125286478,0.9928098454030005,0.9582549830763445,0.9437037037037037,0.9732620320855615,0.9913697544641075
SGD,0.9575811142697617,0.9584705466860637,0.9576012223071046,0.9576012223071046,0.9943739826072712,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_mean', 'spec_skew', 'spec_kurtosis', 'wav_detail_lvl4_std']",0.9566575556423272,0.9784345047923323,0.9358288770053476,0.9951298169035082,0.9585046728971962,0.9385065885797951,0.9793735676088617,0.9943739826072712
SGD,0.9572128587897095,0.9574926552900307,0.9572192513368984,0.9572192513368984,0.9911631459584558,"{'alpha': [0.001], 'penalty': ['l2']}","['spec_skew', 'mfcc_1', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std']",0.9566898685228151,0.9686765857478465,0.944996180290298,0.9924913710158858,0.9577358490566038,0.9463087248322147,0.9694423223834988,0.9911631459584558
SGD,0.9572128587897095,0.9574926552900307,0.9572192513368984,0.9572192513368984,0.991636087817962,"{'alpha': [0.001], 'penalty': ['l2']}","['spec_skew', 'mfcc_var', 'wav_detail_lvl3_std']",0.9566898685228151,0.9686765857478465,0.944996180290298,0.9928472345421333,0.9577358490566038,0.9463087248322147,0.9694423223834988,0.991636087817962
SGD,0.9572111604482251,0.9575653331853742,0.9572192513368984,0.9572192513368984,0.9927088845096653,"{'alpha': [0.001], 'penalty': ['l2']}","['wav_detail_lvl5_std', 'mfcc_1', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.9566227730441518,0.9701492537313433,0.9434682964094728,0.9937769227635975,0.9577995478522984,0.9449814126394052,0.970970206264324,0.9927088845096653
SGD,0.9572102362940133,0.9576048882121122,0.9572192513368984,0.9572192513368984,0.9931625263788598,"{'alpha': [0.001], 'penalty': ['l2']}","['wav_detail_lvl5_std', 'mfcc_1', 'spec_kurtosis']",0.9565891472868217,0.970889063729347,0.9427043544690603,0.9941099361165806,0.9578313253012049,0.9443207126948775,0.9717341482047365,0.9931625263788598
