Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Melhores_Hiperparametros,Lista_Features,Dry_F1,Dry_Precision,Dry_Recall,Dry_PR_AUC,Wet_F1,Wet_Precision,Wet_Recall,Wet_PR_AUC
RF,0.915504747290291,0.9187528078670195,0.9154579502894109,0.9156932453021839,0.9784211437931676,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'mfcc_8', 'ACI']",0.9194956353055286,0.8843283582089553,0.9575757575757575,0.9773576280403371,0.9115138592750534,0.9531772575250836,0.8733401430030644,0.9784211437931676
RF,0.9154619134522671,0.9195313493113717,0.9154295766655317,0.9156932453021839,0.9798212551823151,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'zcr_mean', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9198841698841699,0.8807763401109058,0.9626262626262626,0.9810377056775206,0.9110396570203644,0.9582863585118376,0.8682328907048008,0.9798212551823151
RF,0.9154619134522671,0.9195313493113717,0.9154295766655317,0.9156932453021839,0.9780268830904064,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_3', 'mfcc_11', 'mfcc_10', 'zcr_mean', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9198841698841699,0.8807763401109058,0.9626262626262626,0.9763118978130688,0.9110396570203644,0.9582863585118376,0.8682328907048008,0.9780268830904064
RF,0.915452816601206,0.9196979173181562,0.9154239019407558,0.9156932453021839,0.9749213660928042,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_3', 'mfcc_11', 'mfcc_10', 'mfcc_8', 'ACI']",0.9199614271938283,0.8800738007380073,0.9636363636363636,0.9711308829118405,0.9109442060085837,0.9593220338983051,0.8672114402451481,0.9749213660928042
RF,0.915452816601206,0.9196979173181562,0.9154239019407558,0.9156932453021839,0.9796284839715846,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'zcr_mean', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9199614271938283,0.8800738007380073,0.9636363636363636,0.9811436232276071,0.9109442060085837,0.9593220338983051,0.8672114402451481,0.9796284839715846
RF,0.9149832783702132,0.9184647000676344,0.9149415503348087,0.915185373285932,0.9801265272430789,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'spec_centroid', 'zcr_mean', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9191283292978208,0.8827906976744186,0.9585858585858585,0.981427901840143,0.9108382274426055,0.9541387024608501,0.8712972420837589,0.9801265272430789
RF,0.9149660418090588,0.9187757078443419,0.9149302008852571,0.915185373285932,0.9785699341589605,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'spec_centroid', 'zcr_mean', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9192846785886902,0.881371640407785,0.9606060606060606,0.9799380651114835,0.9106474050294275,0.9561797752808989,0.8692543411644535,0.9785699341589605
RF,0.9149480942903072,0.9191011716055018,0.9149188514357054,0.915185373285932,0.9774827075594408,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'mfcc_8', 'ACI']",0.9194404245055475,0.8799630655586335,0.9626262626262626,0.9776187564582379,0.910455764075067,0.9582392776523702,0.8672114402451481,0.9774827075594408
RF,0.9149100627597901,0.9197957402562694,0.914896152536602,0.915185373285932,0.9784891736697878,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'mfcc_8', 'spec_rolloff', 'ACI']",0.9197501201345507,0.8771769019248395,0.9666666666666667,0.979761322038657,0.9100700053850296,0.9624145785876993,0.8631256384065373,0.9784891736697878
RF,0.9144341758373651,0.9186716909541977,0.914408126205879,0.9146775012696801,0.9798681792042941,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_5', 'mfcc_3', 'mfcc_11', 'mfcc_8', 'spec_rolloff']",0.9189971070395371,0.8791512915129152,0.9626262626262626,0.9812595355579662,0.9098712446351931,0.9581920903954803,0.8661899897854954,0.9798681792042941
